asset_hash,name,name_candidates,candidate_count,resolved,types,wads,aset_rows,block_count,example_block
0x8B29FFE3,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x8C203CEE,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x8EB1FC67,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x8F39B06F,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x8FAF1E02,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x907A1128,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x935614B9,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x94108A26,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x9467C9E8,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x95FE7AD5,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x964FA911,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x96A2A7F6,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x96EA6E01,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x98EC3F0E,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x9A8ADA1C,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x9BEFBB3D,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x9FA1C8BE,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0x9FB14574,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xA0F0C8D4,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xA31B6BCE,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xA3D27F14,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xA4EC1A87,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xA5380086,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xA610770A,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xA692C611,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xAB0C6065,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xB41FC710,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xB5859D71,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xB5A10A52,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xB95411F4,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xB9588F22,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xBA747869,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xBAA2F7D8,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xBD0BBB0C,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xBD7C7E0A,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xBE0E8DAD,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xC155EFB8,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xC2CD6833,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xC37465B6,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xC3D6CE4E,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xCAC803BC,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xCC95407A,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xCCF5DA2C,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xCEDC9142,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xCF701614,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xD02A9BEA,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xD17CE52D,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xD2DEE8A4,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xD3DC5C8B,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xD51825F2,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xDA941FAE,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xDE31F8ED,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xE470EBC1,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xE4A5788D,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xE52D6BDE,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xE6418F93,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xE7062C17,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
0xE7433553,,,0,0,layer,patch.wad,1,1,blocks\VZ\layers_static_P000_Q3.block
